,ID,Count
0,18288,411.71599695221306
1,18289,328.5709054437374
2,18290,278.0721883026339
3,18291,229.7611148047049
4,18292,193.3906246701895
5,18293,173.1165091677266
6,18294,186.1472560857659
7,18295,215.88164995152124
8,18296,248.6011896581303
9,18297,321.2470549861536
10,18298,455.9737106564344
11,18299,505.5066453196148
12,18300,510.8623481517343
13,18301,451.81791938779537
14,18302,483.1034184453672
15,18303,477.00142915303445
16,18304,464.82671670406364
17,18305,475.6551869110808
18,18306,487.3616411889372
19,18307,517.1399342582347
20,18308,496.9536171628554
21,18309,463.8536176922163
22,18310,465.53642049465816
23,18311,454.5323534734735
24,18312,392.34629503254763
25,18313,313.1128699410303
26,18314,264.98992907675245
27,18315,218.95171138234116
28,18316,184.29231714352267
29,18317,164.9720231512139
30,18318,177.38972203259328
31,18319,205.72522357887328
32,18320,236.9054309890517
33,18321,306.13357932886845
34,18322,434.52184839215613
35,18323,481.7244432416435
36,18324,486.82818023275513
37,18325,430.56157160123905
38,18326,460.3752046258195
39,18327,454.56029116873333
40,18328,442.9583535277369
41,18329,453.2773846026615
42,18330,464.43309387285046
43,18331,492.81042932889386
44,18332,473.57380315611107
45,18333,442.0310351946518
46,18334,443.6346684022416
47,18335,433.14830168826427
48,18336,377.9190913463601
49,18337,301.59920660687993
50,18338,255.24582360160952
51,18339,210.90050514553872
52,18340,177.51559252322645
53,18341,158.90573678465714
54,18342,170.86681692554214
55,18343,198.16037655078384
56,18344,228.19403763446542
57,18345,294.876555724777
58,18346,418.5437818417066
59,18347,464.0106614339526
60,18348,468.92672581527086
61,18349,414.7291307917221
62,18350,443.4464686257612
63,18351,437.84537887983316
64,18352,426.67006312776573
65,18353,436.6096468495564
66,18354,447.3551427650058
67,18355,474.6889979999306
68,18356,456.1597334807268
69,18357,425.7768437797934
70,18358,427.32150881763926
71,18359,417.22074265711717
72,18360,262.62639333326035
73,18361,209.58960178792404
74,18362,177.3773582780761
75,18363,146.5605741726681
76,18364,123.36047818781532
77,18365,110.42797648312256
78,18366,118.74006076174328
79,18367,137.70710765018453
80,18368,158.57832656876474
81,18369,204.91784639045127
82,18370,290.8576105153917
83,18371,322.4537983684301
84,18372,325.870107010738
85,18373,288.20670435578677
86,18374,308.16317396577097
87,18375,304.2708223159284
88,18376,296.50478736948
89,18377,303.4120780670422
90,18378,310.8794193617041
91,18379,329.8744687800005
92,18380,316.9979721350174
93,18381,295.88406462436086
94,18382,296.95749493546856
95,18383,289.93819411848665
96,18384,261.6735740415598
97,18385,208.8292021441991
98,18386,176.73382597070523
99,18387,146.0288464178829
